SAM;Firstname;Lastname;Company;Annee;Filiere;AnneeEtude;Promotion;Delegue;Activation
Null;Maxime;Habermann;BioDevops;2023;PSSI;5A;5PSSI2;false;true
Null;Theo;Payen;BioDevops;2023;PSSI;5A;5PSSI2;false;true
Null;Mohamed;Wazane;BioDevops;2023;PSSI;5A;5PSSI1;false;true
Null;Mukilventhan;George;BioDevops;2023;PSSI;5A;5PSSI1;false;true
Null;Kristina;Chung;BioDevops;2023;GPP;5A;5GPP1;false;true
Null;Paige;Chen;BioDevops;2023;GPP;5A;5GPP1;false;true
Null;Sherri;Melton;BioDevops;2023;GPP;5A;5GPP2;false;true
Null;Gretchen;Hill;BioDevops;2023;GPP;5A;5GPP2;false;true
Null;Karen;Puckett;BioDevops;2023;CPS;5A;5CPS1;false;true
Null;Patrick;Song;BioDevops;2023;CPS;5A;5CPS1;false;true
Null;Elsie;Hamilton;BioDevops;2023;CPS;5A;5CPS2;false;true
Null;Hazel;Bender;BioDevops;2023;CPS;5A;5CPS2;false;true
Null;Malcolm;Wagner;BioDevops;2023;ASI;5A;5ASI1;false;true
Null;Dolores;McLaughlin;BioDevops;2023;ASI;5A;5ASI1;false;true
Null;Francis;McNamara;BioDevops;2023;ASI;5A;5ASI2;false;true
Null;Sandy;Raynor;BioDevops;2023;ASI;5A;5ASI2;false;true
Null;Marion;Moon;BioDevops;2023;PSSI;4A;4PSSI2;false;true
Null;Beth;Woodard;BioDevops;2023;PSSI;4A;4PSSI2;false;true
Null;Julia;Desai;BioDevops;2023;PSSI;4A;4PSSI1;false;true
Null;Jerome;Wallace;BioDevops;2023;PSSI;4A;4PSSI1;false;true
Null;Neal;Lawrence;BioDevops;2023;GPP;4A;4GPP1;false;true
Null;Jean;Griffin;BioDevops;2023;GPP;4A;4GPP1;false;true
Null;Kristine;Dougherty;BioDevops;2023;GPP;4A;4GPP2;false;true
Null;Crystal;Powers;BioDevops;2023;GPP;4A;4GPP2;false;true
Null;Alex;May;BioDevops;2023;CPS;4A;4CPS1;false;true
Null;Eric;Steele;BioDevops;2023;CPS;4A;4CPS1;false;true
Null;Wesley;Teague;BioDevops;2023;CPS;4A;4CPS2;false;true
Null;Franklin;Vick;BioDevops;2023;CPS;4A;4CPS2;false;true
Null;Claire;Gallagher;BioDevops;2023;ASI;4A;4ASI1;false;true
Null;Marian;Solomon;BioDevops;2023;ASI;4A;4ASI1;false;true
Null;Marcia;Walsh;BioDevops;2023;ASI;4A;4ASI2;false;true
Null;Dwight;Monroe;BioDevops;2023;ASI;4A;4ASI2;false;true
Null;Jones;Angela;BioDevops;2023;PSSI;5A;5PSSI2;false;true
Null;Stephanie;Mark;BioDevops;2023;PSSI;5A;5PSSI2;false;true
