"SAM";"Delegue";"Annee";"Firstname";"Lastname";"Promotion";"AnneeEtude";"Activation";"Company";"Filiere"
"U20236432701958";"false";"2023";"Maxime";"HABERMANN";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20237856104932";"false";"2023";"Theo";"PAYEN";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20238395160472";"false";"2023";"Mohamed";"WAZANE";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20239824507613";"false";"2023";"Mukilventhan";"GEORGE";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20237098645123";"false";"2023";"Kristina";"CHUNG";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20233194687205";"false";"2023";"Paige";"CHEN";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20231458730692";"false";"2023";"Sherri";"MELTON";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20232631597048";"false";"2023";"Gretchen";"HILL";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20231029645873";"false";"2023";"Karen";"PUCKETT";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20231084325769";"false";"2023";"Patrick";"SONG";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20230327964851";"false";"2023";"Elsie";"HAMILTON";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20235968137240";"false";"2023";"Hazel";"BENDER";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20230824567139";"false";"2023";"Malcolm";"WAGNER";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20234962573018";"false";"2023";"Dolores";"MCLAUGHLIN";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20236708324951";"false";"2023";"Francis";"MCNAMARA";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20231245906738";"false";"2023";"Sandy";"RAYNOR";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20239857162034";"false";"2023";"Marion";"MOON";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20231294076853";"false";"2023";"Beth";"WOODARD";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20232178930456";"false";"2023";"Julia";"DESAI";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20233026185497";"false";"2023";"Jerome";"WALLACE";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20230159487632";"false";"2023";"Neal";"LAWRENCE";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20233704621985";"false";"2023";"Jean";"GRIFFIN";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20233184729506";"false";"2023";"Kristine";"DOUGHERTY";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20235086731492";"false";"2023";"Crystal";"POWERS";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20237465023198";"false";"2023";"Alex";"MAY";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20237120564893";"false";"2023";"Eric";"STEELE";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20239518042763";"false";"2023";"Wesley";"TEAGUE";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20233598761240";"false";"2023";"Franklin";"VICK";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20237286904513";"false";"2023";"Claire";"GALLAGHER";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20235936247108";"false";"2023";"Marian";"SOLOMON";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20231826457309";"false";"2023";"Marcia";"WALSH";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20236304128795";"false";"2023";"Dwight";"MONROE";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20239013574628";"false";"2023";"Jones";"ANGELA";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20230367298514";"false";"2023";"Stephanie";"MARK";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20234785963120";"false";"2023";"Benjamin";"VIRGINIA";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20232347961805";"false";"2023";"Keith";"JONATHAN";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20232910786435";"false";"2023";"Jesus";"CHRISTOPHER";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20235406792813";"false";"2023";"James";"JACKIE";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20238521473906";"false";"2023";"Angela";"DYLAN";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20230745392186";"false";"2023";"Carl";"TAMMY";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20233906412875";"false";"2023";"Brooke";"KAYLA";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20239645378012";"false";"2023";"Emily";"SARA";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20239378410562";"false";"2023";"Nicholas";"MICHAEL";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20231658273094";"false";"2023";"Michael";"MICHAEL";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20231469208375";"false";"2023";"Megan";"VANESSA";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20236123740985";"false";"2023";"Brandon";"PATRICK";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20231067283954";"false";"2023";"Angela";"SARAH";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20239803156427";"false";"2023";"Daniel";"JENNIFER";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20239257148360";"false";"2023";"Angela";"JEFFREY";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20236508123497";"false";"2023";"Justin";"JUSTIN";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20232543179860";"false";"2023";"Ryan";"STACEY";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20232037468591";"false";"2023";"Tracy";"MICHAEL";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20232106875349";"false";"2023";"Scott";"WHITNEY";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20236825394710";"false";"2023";"Tammie";"JOSEPH";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20236703854912";"false";"2023";"Drew";"ANGELICA";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20231053867429";"false";"2023";"Ashley";"VICTOR";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20232408915376";"false";"2023";"Timothy";"GERALD";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20237405291863";"false";"2023";"Carlos";"KENNETH";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20232385041796";"false";"2023";"Sara";"JASON";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20234873905612";"false";"2023";"Randy";"NANCY";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20237135042689";"false";"2023";"George";"KATHRYN";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20231342809765";"false";"2023";"Christopher";"BRETT";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20234986203175";"false";"2023";"Donna";"KEVIN";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20236247301985";"false";"2023";"Barbara";"REBECCA";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20230849325167";"false";"2023";"Joshua";"CLAUDIA";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20236451289370";"false";"2023";"Jesse";"SAMANTHA";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20231346298705";"false";"2023";"Devin";"TIFFANY";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20238523697410";"false";"2023";"Kimberly";"COLLEEN";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20231897325640";"false";"2023";"Kenneth";"LISA";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20237601952438";"false";"2023";"Christina";"TIFFANY";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20236419520837";"false";"2023";"Robert";"KAITLYN";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20236389201457";"false";"2023";"Kathryn";"CINDY";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20231032594678";"false";"2023";"Denise";"SIERRA";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20236908357142";"false";"2023";"Stephen";"JAMIE";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20233485279061";"false";"2023";"Brenda";"ZACHARY";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20237640593128";"false";"2023";"Andrew";"AMY";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20238067453129";"false";"2023";"Joseph";"ELIZABETH";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20237398154062";"false";"2023";"David";"PHILIP";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20239862073451";"false";"2023";"Patrick";"BRIAN";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20234690835712";"false";"2023";"Emily";"CRAIG";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20230694372185";"false";"2023";"Rachel";"BRETT";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20237208394165";"false";"2023";"Megan";"STACY";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20233670825491";"false";"2023";"Tabitha";"CHARLES";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20237839145062";"false";"2023";"Marcus";"PHILLIP";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20236293470185";"false";"2023";"Jordan";"TRISTAN";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20239532801467";"false";"2023";"Felicia";"AUSTIN";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20237160835294";"false";"2023";"Gina";"AUSTIN";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20236357429801";"false";"2023";"Michael";"JONATHAN";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20235849013672";"false";"2023";"James";"DILLON";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20239138524706";"false";"2023";"Dr";"MISS";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20234857316920";"false";"2023";"Danielle";"ASHLEY";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20238207369451";"false";"2023";"Adrian";"DEREK";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20232807593614";"false";"2023";"Taylor";"BARBARA";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20237409856123";"false";"2023";"Daniel";"JENNIFER";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20237913025864";"false";"2023";"Bradley";"TAYLOR";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20236078392451";"false";"2023";"Matthew";"KIMBERLY";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20231825609473";"false";"2023";"Jennifer";"RANDY";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20237893140526";"false";"2023";"Sharon";"JIMMY";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20232105783964";"false";"2023";"Alexis";"CHRISTOPHER";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20239503741268";"false";"2023";"Rebecca";"ALEXANDER";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20238469510732";"false";"2023";"Ronald";"MISTY";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20230785132946";"false";"2023";"Sara";"STEVEN";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20234396570218";"false";"2023";"Sheena";"CHRISTOPHER";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20236243159708";"false";"2023";"Geoffrey";"GRACE";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20232960173854";"false";"2023";"Clifford";"STEPHANIE";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20234036957218";"false";"2023";"Erin";"TONY";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20237106482953";"false";"2023";"Stacy";"KEVIN";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20233105948627";"false";"2023";"Katherine";"JAMES";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20239184630725";"false";"2023";"Michele";"SAMANTHA";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20234387195602";"false";"2023";"Scott";"MATTHEW";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20230485961237";"false";"2023";"Douglas";"WESLEY";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20230194536278";"false";"2023";"Jasmine";"TIMOTHY";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20238659213704";"false";"2023";"Denise";"PATRICKS";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20237956821403";"false";"2023";"Valerie";"JAMES";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
"U20236947158032";"false";"2023";"Jody";"ASHLEY";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20232371405689";"false";"2023";"Jennifer";"BARBARA";"4PSSI1";"4A";"True";"BioDevops";"PSSI"
"U20239631874502";"false";"2023";"Don";"JAIME";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20235308146927";"false";"2023";"Joshua";"LESLIE";"4GPP1";"4A";"True";"BioDevops";"GPP"
"U20231643759028";"false";"2023";"Kari";"JACOB";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20230765284319";"false";"2023";"Carolyn";"CORY";"4GPP2";"4A";"True";"BioDevops";"GPP"
"U20234261589037";"false";"2023";"Jonathan";"VANESSA";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20239173406285";"false";"2023";"Patricia";"MARK";"4CPS1";"4A";"True";"BioDevops";"CPS"
"U20239156780324";"false";"2023";"Allison";"MELISSA";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20233160742985";"false";"2023";"Mary";"MARIA";"4CPS2";"4A";"True";"BioDevops";"CPS"
"U20232958071634";"false";"2023";"Jeffrey";"JULIA";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20232078319645";"false";"2023";"Jessica";"TAMMY";"4ASI1";"4A";"True";"BioDevops";"ASI"
"U20232857164309";"false";"2023";"Natalie";"JUSTIN";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20234380769251";"false";"2023";"Gregory";"TERESA";"4ASI2";"4A";"True";"BioDevops";"ASI"
"U20234761203589";"false";"2023";"Courtney";"SHAWNA";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20235709486321";"false";"2023";"Gary";"JENNIFER";"5PSSI2";"5A";"True";"BioDevops";"PSSI"
"U20236904832751";"false";"2023";"Ashley";"DOUGLAS";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20232704351986";"false";"2023";"Stephen";"ROBERT";"5PSSI1";"5A";"True";"BioDevops";"PSSI"
"U20238063751924";"false";"2023";"Michael";"CHERYL";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20235309267481";"false";"2023";"Amber";"KIMBERLY";"5GPP1";"5A";"True";"BioDevops";"GPP"
"U20239167458203";"false";"2023";"Caroline";"DEBRA";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20234358290761";"false";"2023";"Austin";"DERRICK";"5GPP2";"5A";"True";"BioDevops";"GPP"
"U20236783192045";"false";"2023";"Donald";"APRIL";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20232496135708";"false";"2023";"William";"TYLER";"5CPS1";"5A";"True";"BioDevops";"CPS"
"U20234831250976";"false";"2023";"Jean";"CARRIE";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20237064918532";"false";"2023";"Travis";"JANICE";"5CPS2";"5A";"True";"BioDevops";"CPS"
"U20233240795861";"false";"2023";"Sean";"MICHAEL";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20234078123695";"false";"2023";"Jennifer";"FELICIA";"5ASI1";"5A";"True";"BioDevops";"ASI"
"U20233629471085";"false";"2023";"Erin";"JONATHAN";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20233948756102";"false";"2023";"Jonathan";"MICHAEL";"5ASI2";"5A";"True";"BioDevops";"ASI"
"U20231307492685";"false";"2023";"Elizabeth";"GREGORY";"4PSSI2";"4A";"True";"BioDevops";"PSSI"
